text,sentiment
"['', '', 'beruntung', '', 'lapor', 'langsung', 'ditanggapi', 'gubernur', 'amp', 'dpu', 'propinsi']",netral
"['', 'anakkolong', 'mbaksri', '', 'trending', 'anak', 'pepo', '', '', 'hancur', 'hancur', 'hatiku', 'bang', 'brewok', 'pengkhianat', 'cin', '', '']",netral
"['putra', 'wayang', 'ganjar', 'pranowo', 'siti', 'atikoh', 'ganjar', 'pranowo', 'pandangan', 'alam', 'ganjar', 'terkait', 'politik']",netral
"['', '', 'percaya', 'hasil', 'dri', 'lambaga', 'survei']",netral
"['kemaren', 'next', '', '', 'bercandanya', 'tuhan', 'terkadang', 'selucu', 'bersihkan', 'jejak', 'bijitil', 'jerrrrr']",netral
"['', 'solid', 'nazaruddin', 'kabor', '', 'negeri', 'tertangkap', 'harun', 'masiku', 'ngilang', 'skrg', 'keturunan', 'demit', '', 'ngilang', '']",positif
"['', '', 'dikasih', 'wjengan', '', 'iriana', 'suami', '', '', 'menggantikan', 'suami', '', '', 'presidenaamiin']",netral
"['', 'pol', 'pol', 'pol', 'bole', '', 'set']",netral
"['', 'chotimah', 'nakula', 'anakkolong', 'lasan', 'ogi', 'anis', 'sampah']",netral
"['', 'daerah', 'udah', 'cuman', '', 'koar', 'kaya', 'ganjar']",netral
"['selamat', 'pagi', 'pendukung', 'ganjar', 'pranowo', 'ikutan', 'ribut', 'cawapres', 'tetangga', 'sebelah', '', 'fokus', '', 'ganjar']",netral
"['', 'chotimah', 'nakula', 'anakkolong', 'lasan', 'ogi', 'matamu', 'sempal']",netral
"['', 'prihatin']",netral
"['', 'warga', 'miskin', 'komoditas', 'pemilu']",netral
"['', 'udien', 'ganjar', 'melaju', 'rakyat', 'meneruskan', 'pekerjaan', 'presiden', 'jokowi']",netral
"['ppp', 'mengajak', 'partai', 'demokrat', 'pks', 'mendukung', 'bacapres', 'ganjar', 'pranowo', '', 'pemilu', '']",netral
"['poirot', 'piye', 'penak', 'ora', 'jogingnya', '', 'area', 'wadas']",netral
"['', 'ganjar', 'melaju', 'rakyat', 'melanjutkan', 'pekerjaan', 'presiden', 'jokowi', '', '', 'nkri', 'harga', 'mati']",netral
"['', 'gitu', 'dongad', 'prestasi', '', 'anak', 'bangsamasa', 'pro', 'aseng', 'pro', 'anak', 'bangsa', 'dongbiarin', 'pencitraan', '', 'sing', 'anak', 'bangsa', 'majubosen', '', 'sepelein', 'mulu', 'opung', 'luhut']",negatif
"['', 'ngibul', 'esemka']",netral
"['', '', 'nanyak']",netral
"['rumusnya', '', 'lembaga', 'survey', '', 'teruji', 'terbukti', 'surveynya', '', 'pilpres']",netral
"['', 'kau', 'bikin', 'pernyataan', 'mengadili', 'prabowo', 'presiden']",netral
"['krr', 'mendadak', 'mengandung', 'bawang']",netral
"['chotimah', 'iya', '', 'capaian', 'survey', '', 'menjajaki', 'akademisi', '', 'kampus']",netral
"['rekam', 'jejak', 'ganjar', 'anakanak', 'keluarga', '', 'akses', 'pendidikan', '', 'terbaik']",netral
"['', 'ganjar', 'pranowo', 'manteb']",netral
"['', 'masuk', 'akal', '', 'penutup', 'podcast', 'kemarin', 'tantanganin', 'langsung', '', '', 'nggak', 'direspon', 'pendengungpendengung', '', 'berisik']",netral
"['', 'zakat', 'kader']",netral
"['komunitas', 'ojek', 'online', 'optimis', 'ganjar', 'pranowo', 'next', 'presiden', 'salampramukakakganjar', 'ulamasufikejateng', 'jatenghappyending', 'ganjarayahidaman', 'rakyatdukungganjar', 'cak', 'imin', '', 'superbluemoon', '', '', 'sugeng', 'rahayu', '', 'zoro', '', 'surya', 'paloh', '', 'koalisi', 'perubahan']",netral
"['ima', '', 'bunda']",netral
"['warga', 'gereja', 'kota', 'semarang']",netral
"['gub', 'jateng', 'memaparkan', '', 'strategi', 'utk', 'wujudkan', 'indonesia', 'emas', '', '', 'hadapan', 'mahasiswa', 'universitas', 'pancasila', 'jakarta', '', '', 'pembangunan', 'sdm', '', 'infrastruktur', 'dukung', 'inovasi', '', 'ketangguhan', 'kesehatan', 'mental']",netral
"['ganjar', 'berbicara', 'kolaborasi', '', 'industri', 'kreatif', 'salampramukakakganjar', 'ulamasufikejateng', 'jatenghappyending', 'ganjarayahidaman', 'rakyatdukungganjar', 'cak', 'imin', '', 'superbluemoon', '', '', 'sugeng', 'rahayu', '', 'zoro', '', 'surya', 'paloh', '', 'koalisi', 'perubahan']",netral
"['presiden', 'joko', 'widodo', 'mengundang', 'gubernur', 'jawa', 'calon', 'presiden', 'ganjar', 'pranowo', '', 'istana', 'kepresidenan', 'jakarta']",netral
"['chotimah', 'paspampres', 'special', 'edition', 'era', 'jokowibisa', 'den', 'ganjar', '', 'bokpgitu', '', 'nul']",positif
"['', 'ganjar', 'pranowo', 'merakyat', 'ganjarpilihanrakyat']",netral
"['', 'bajunya', 'pink']",netral
"['', '', 'atikoh', 'lak', 'memfavoritkan', 'campursari', '', '', 'iriana', '', 'ndak', 'mbak', 'metal', 'doooong']",netral
"['', 'retnawati', 'purworejo', 'mangga', 'mbenjang', 'setu', 'ngahad', 'gumregahsembir']",netral
"['', 'terima', 'kasih', 'karya', 'membangun', 'jateng', 'dasa', 'warsa', 'mendukungmu', '', '', '']",netral
"['', 'fals', 'melek']",netral
"['', 'setuju', 'anis', 'cak', 'imin']",netral
"['cawapres', 'ganjar', 'pranowo', 'ditentukan']",netral
"['chotimah', 'tag', 'hahahaha', 'framing', 'doang', 'aslinya', 'ancur', 'jateng']",netral
"['', 'dukung', 'uda', 'ganjar', 'pilpres', '', 'ganjarpranowo', 'ganjaruntuksemua']",netral
"['ganjar', 'pranowo', 'didukung', 'kekuatan', 'oligarki', 'didukung', 'rakyat', 'ganjarpilihanrakyat']",netral
"['ganjar', 'pranowo', 'maju', 'rakyat', 'ganjarpilihanrakyat']",netral
"['ganjar', 'pranowo', 'merakyat', 'ganjarpilihanrakyat']",netral
"['ppp', 'ajak', 'demokratpks', 'masuk', 'koalisi', 'ganjar', 'pranowo', 'mencuatnya', 'isu', 'duet', 'anies', 'baswedancak', 'imin']",netral
"['chotimah', 'dinegara', 'paspanpresnya', 'bertugas', 'keselamatan', 'kepala', 'negara', 'paspanpres', 'kuli', 'angkut', 'kantong', 'sembako', 'silap']",netral
"['chotimah', 'ganjar', '']",netral
"['gubernur', 'jateng', 'bangun', '', 'sekolah', 'asrama', 'gratis', 'utk', 'meningkatkan', 'sdm', 'pendidikan', 'angka', 'kemiskinan', 'diturunkan', 'ganjar', 'pranowo', 'bnr', 'peduli', '', 'generasi', 'muda', '', 'sdm', '', 'mumpuni']",positif
"['', 'yok', 'yok', '', 'menang', 'ganjarpranowo', 'ganjaruntuksemua']",netral
"['chotimah', 'sembako', '', 'lempar', 'lempar', 'kaos']",netral
"['', 'proyek', 'mobil', 'esemka', 'jilid', '', 'mengantarkan', 'belio', '', 'sekjen', 'pbb']",netral
"['didukung', 'kelompok', 'iblis', 'komunis', 'pki', 'china', 'selundupan', 'perjuangan', 'megawati', 'cucu', 'motor', 'komunis', 'ri', 'soekarno', 'projo', 'komunis', 'pki', 'berani', 'seruduk', 'oposisi']",netral
"['smkn', 'jateng', 'ganjar', 'pranowo', 'mewujudkan', 'mimpi']",netral
"['', 'nama', 'internal', 'perjuangan', '', 'denger', '', 'mulutnya', 'mendukung', 'langkah', 'budiman', '', '', 'senayan']",netral
"['', 'mantap', 'bismillah', '', 'menang', 'ganjarpranowo', 'ganjaruntuksemua']",netral
"['momen', 'kebersamaan', 'pranowo', 'keluarga', 'kecilnya', 'potret', 'keluarga', 'bahagia', 'sejahtera', 'harmonis', 'keluarga', 'idaman', '']",netral
"['', 'imin', 'pkb', 'terserah', 'kau']",netral
"['jumat', 'mari', 'ceriabahagiakan', 'indonesia', '', 'sholawat', 'semoga', '', 'gus', 'pemimpin', 'bangsa', 'warga', 'bangsa', 'indonesia', 'senantiasa', 'sehat', 'bahagia', 'selamat']",netral
