text,sentiment
"['cak', 'imin', 'nyantai', 'prabowo', 'nyantai', 'aja', 'tuh', '', 'memangnya', 'anies', 'nyapres', '']",netral
"['pbb', 'beberkan', 'alasan', 'yusril', 'layak', 'cawapres', 'prabowo']",netral
"['kemaren', 'next', '', '', 'bercandanya', 'tuhan', 'terkadang', 'selucu', 'bersihkan', 'jejak', 'bijitil', 'jerrrrr']",netral
"['waras', 'demokrat', 'kemana', '', 'kayak', 'aja', 'ahy', 'maksa', 'bgt', '', 'cawapres']",netral
"['', '', 'prabowo', 'didukung', 'sdm', 'politik', '', 'power', 'full', 'politikus', 'senior', 'ulama', 'tukang', 'gorengan', 'keok', 'stigma', 'negatif', 'tentangnya', 'melekat', 'diingatan', 'generasi', '', '', 'hidup', 'utk', 'menceritakan', 'anak', 'anaknya', '', 'sbg', 'genz']",netral
"['', 'pol', 'pol', 'pol', 'bole', '', 'set']",netral
"['', 'hmm', 'iya', 'potensi', '', '', 'dikabungkan', 'prabowo', 'cawapres', 'prabowo', 'lbh', 'pas', 'gabung', '', 'anies', 'anies', 'cawapres', '', 'politik', 'blm', 'dewasa', 'sehat', 'politik', 'uang', 'msh', 'sulit', 'dihilangkan', 'simak', 'diskusi', '', '', 'mahfud', '']",netral
"['', 'hmmm', 'efek', 'ayah', '', 'ikhlas', 'berbakti', 'merangkul', 'menyayangi', 'dendam', '', 'kesetiaan', '', 'pengabdian', 'rekayasa', 'mendukung', 'karna', 'kuat', 'nya', 'pengaruh', 'euforia', 'berlebih', 'taklid', 'buta', 'menyerang', 'saudara', 'membabi', 'buta', 'rusakmoralbangsa']",netral
"['panelis', '', 'singapura', 'menhan', 'prabowo', 'usulkan', 'rusiaukraina', 'hentikan', 'perang', '', 'sulawesi', 'utara', 'jokowinomics', 'menatamasadepan', 'prabowopetugasrakyat']",netral
"['', 'pkb', 'gabung', 'dgn', 'prabowo', 'penghinaan', 'pkb', 'gus', 'muhaimin', 'suara', 'nya', '', 'muhaimin', 'nya', '', 'dikasih', 'angin', 'segar', 'doank', '', 'probwo', 'dgn', 'kollalisi', 'ngelirik', 'cawapres', 'lainnyan']",netral
"['prabowo', 'antek', 'asing']",netral
"['', 'gmn', 'ceritanya', 'anies', 'sbg', 'gub', 'dki', 'ybs', 'tdk', 'bersaing', '', 'prabowo', 'sbg', 'capres']",netral
"['prabowo', 'kalah', 'lolos', '', 'putaran', '', 'lolos', '', 'menang', 'koalisi', 'anies', 'kalah', 'pendukungnya', 'ngga', 'milih', 'ganjar', 'koalisi', 'ganjar', 'kalah', 'pendukungnya', 'ngga', 'milih', 'anies', 'pendukung', 'ganjar', 'anies', 'kek', 'minyak', 'ama', 'air']",netral
"['', 'quote', 'menyentuh', 'anies', '', '', 'percaya', 'drpd', 'prabowo', 'anies']",positif
"['pendukung', 'prabowo', 'bahan', 'kasihan', '', 'orang', 'makan', 'aja', '', 'komentarin', '']",netral
"['', 'keren', 'tetep', 'dukung', 'anies', 'orang', 'didukung']",netral
"['demokrat', 'sih', 'baikbaik', 'koalisi', 'perubahan', '', 'bergabung', 'koalisinya', 'prabowo', '', 'hitungan', 'politik', 'menang', 'dibahas', 'demokrat', '', 'rasional', 'aja', 'emosional']",netral
"['menarik', 'menunggu', 'analisa', 'ttg', 'prabowo', 'membranding', 'radikal', 'radikul', 'pkb', 'gus', 'imin', 'tertinggal', 'tinggal', '', 'prabowo', 'kanda', 'anis', 'matta', 'fahri', 'bamukmin', 'hehehe']",netral
"['hasibuan', 'prabowo', 'ganjar']",netral
"['', '', 'bener', 'prabowo', 'anies']",netral
"['', 'pilih', 'pks', 'pilpres', '', 'pulang', 'pilih', 'wae']",netral
"['', 'big', '', 'ikhlas', 'prabowo', 'iminnya']",negatif
"['sajak', 'demokrat', '', 'ganjar', 'pks', '', 'prabowo', 'anies', 'tinggal', 'kenangan', 'wkwkwk']",netral
"['narasi', '', 'anies', 'ngga', 'beda', 'prabowo', 'ganjar', 'beban', 'pengkhianat', '', 'gimana', 'menang', 'mayoritas', 'orang', 'indonesia', 'ngga', 'nyari', '', 'pinter', 'jokowi', 'aja', 'menang', 'anies', 'menang', 'beban', 'kek', 'gitu']",netral
"['prabowo', 'subianto', 'cirinya', 'antek', 'aseng', 'prabowocapresgagal']",netral
"['prabowo', 'subianto', 'nampak', 'kali', 'pro', 'amerika', 'prabowocapresgagal']",netral
"['waras', 'yaa', 'politik', 'waras', 'pake', 'itung', '', 'politik', '', 'pake', 'hati', 'terbawa', 'perasaan', 'berpolitik']",netral
"['pertemuan', 'prabowo', 'subianto', 'austin', 'menabur', 'timbulnya', 'perselisihan', 'tiongkok', 'prabowocapresgagal']",netral
"['', 'tamat', 'karir', 'politik', 'anis', 'karma', 'anis', '', 'dki', '', 'memainkan', 'isu', 'agama', 'kwalat', '', 'prabowo', 'sandiinilah', 'watak', 'anis', 'keturunan', '', 'mencla', 'mencletungu', 'gelandangan', 'politik', 'surya', 'paloh', 'menjebakmu']",netral
"['calon', 'presiden', 'capres', 'prabowo', 'subianto', 'mengaku', 'santai', 'mendengar', 'kabar', 'rencana', 'duet', 'anies', 'baswedan', 'muhaimin', 'iskandar', 'alias', 'cak', 'imin', '', 'pilpres', '', 'wacana', 'duet', 'aniescak', 'imin', 'dibocorkan', 'sekjen', 'demokrat', 'teuku', 'riefky', 'harsya']",netral
"['koalisi', 'berubahubah', 'berkhayal', 'perubahan', '', 'tau', 'prabowo', 'dikhianati', 'syukurin']",netral
