created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,
"Mon Sep 11 05:56:26 +0000 2023;1701112445056762189;""Dapat info @ganjarpranowo bakal gandeng sama prof @mohmahfudmd  buat rebut suara @aniesbaswedan &amp  @cakimiNOW di jatim   @MinmonPS7 gimana bang tanggapannya"";0;0;0;0;in;790932484540162048;1701112445056762189;Andrepandu6;https://twitter.com/Andrepandu6/status/1701112445056762189",,,,,,,,
"Mon Sep 11 05:56:12 +0000 2023;1701112385048883337;""Pak @aniesbaswedan bukan politisi. Pemilu itu mainannya partai politik. Jadi seperti yang sudah saya sampaikan kepada Kang Eep Saefullah Fatah medio September 2022 bahwa Pak Anies bakal nyungsep di Pilpres 2024.   Tags: Rempang Bromo Ngekos No 1 https://t.co/5skMttZuiZ"";0;0;0;0;in;841187770726932482;1701112385048883337;MangDjanaBdg;https://twitter.com/MangDjanaBdg/status/1701112385048883337",,,,,,,,
"Mon Sep 11 05:55:40 +0000 2023;1701112250403328166;""Saya tak tahu apakah narasi-narasi janji @cakimiNOW ini sudah dikonsultasikan dulu dengan @aniesbaswedan atau belum. Bukannya ini malah bisa jadi bumerang bahkan bahan serangan dari calon lain? Belum lagi analisa janji tsb realistis atau tidak."";0;0;0;0;in;1727670871;1701112250403328166;Onengndeso;https://twitter.com/Onengndeso/status/1701112250403328166",,,,,,,,
"Mon Sep 11 05:55:33 +0000 2023;1701112222859321846;""Maaf cak @cakimiNOW @aniesbaswedan saya sangat tidak setuju"," yang sudah berjalan dananya lebih banyak nggak jelas penggunaannya. Lebih baik buat anggaran pendidikan dan kesehatan gratis untuk rakyat karena itu jelas amanat UUD 45"";0;0;0;0;in;2518915579;1701112222859321846;tgh_009;https://twitter.com/tgh_009/status/1701112222859321846",,,,,,,
"Mon Sep 11 05:55:08 +0000 2023;1701112116751880342;""Kata Anies-Cak Imin soal Ganjar Muncul di Video Azan TV https://t.co/puoshRG2fW  #ganjarpranowo #aniesbaswedan #cakimin  Pak Mahfud"";0;0;0;0;in;115936810;1701112116751880342;tribunpontianak;https://twitter.com/tribunpontianak/status/1701112116751880342",,,,,,,,
"Mon Sep 11 05:53:59 +0000 2023;1701111825658790109;""@Adirja7111 @junaidihara @NovalAssegaf @aniesbaswedan Faktanya masyarkat akar rumput butuh janji2 yg mudah dipahami sperti itu..kalau nga ada jualan kaya gitu..akar rumput mana mau milih.. Jangan kaku..nanti ketinggal jauh"";0;0;0;0;in;2232222276;1701052235353034933;brochandra;https://twitter.com/brochandra/status/1701111825658790109",,,,,,,,
"Mon Sep 11 05:53:58 +0000 2023;1701111825507737952;""@yusuf_dumdum @PDemokrat @aniesbaswedan Cukup 1 sj org seperti ""dia"" di Republik ini...klo cukup 2"," hancurrrrr Republik ini krn ""ngomongnya"""";0;0;0;0;in;2682966102;1700878119593554393;WHD_______;https://twitter.com/WHD_______/status/1701111825507737952",,,,,,,
"Mon Sep 11 05:53:49 +0000 2023;1701111787377356833;""@ivanazhar1 @aniesbaswedan @ganjarpranowo biaya murah"," biar nggak kelihatan yang hadir lengang"";0;0;0;0;in;1322167655801872384;1701108068665438604;AryeMataram;https://twitter.com/AryeMataram/status/1701111787377356833",,,,,,,
"Mon Sep 11 05:53:43 +0000 2023;1701111761603277146;""@aniesbaswedan Cocok nian jadi kangen pingin balik ke plg"";0;0;0;0;in;410767516;1700739728684068907;HerySaeed;https://twitter.com/HerySaeed/status/1701111761603277146",,,,,,,,
"Mon Sep 11 05:53:35 +0000 2023;1701111725578477716;""Jelas....pasangan Anis @aniesbaswedan dan Gus Muhaimin @cakimiNOW adalah kader pergerakan...bukan anak mami dan penyokong oligarki.... https://t.co/VQsIqoINyT"";0;0;0;0;in;2469105158;1701111725578477716;fuadbahari96;https://twitter.com/fuadbahari96/status/1701111725578477716",,,,,,,,
"Mon Sep 11 05:53:13 +0000 2023;1701111633408635215;""@aniesbaswedan @PKSejahtera @PKS_Sumsel @PKS_Palembang Raganya mungkin sehat"," jiwa?"";0;0;0;0;in;1226092528077684741;1701010657892864277;karmatiranda;https://twitter.com/karmatiranda/status/1701111633408635215",,,,,,,
"Mon Sep 11 05:52:41 +0000 2023;1701111501669695547;""Refleksi Kasus Rempang Batam: Anies Baswedan"," Pro Poor Growth dan Membangun Tanpa Menggusur  No 1 Prophet Muhammad Adzan Maroko Senin Chris Evans Rempang Naufal Pisah Sendiri Kylie Vietnam Mundur Alba Baptista Bernie #Morocco #AhnHyoSeop #TanyaKosan https://t.co/UXgGcZy9oo"";0;0;0;0;in;1456949178421100548;1701111501669695547;news_wanheart;https://twitter.com/news_wanheart/status/1701111501669695547",,,,,,,
