text,sentiment
"['info', 'gandeng', 'prof', 'rebut', 'suara', 'amp', '', 'jatim', 'gimana', 'bang', 'tanggapannya']",netral
"['politisi', 'pemilu', 'mainannya', 'partai', 'politik', 'kang', 'eep', 'saefullah', 'fatah', 'medio', 'september', '', 'anies', 'nyungsep', '', 'pilpres', '', 'tags', 'rempang', 'bromo', 'ngekos', '', '']",negatif
"['narasinarasi', 'janji', 'dikonsultasikan', 'bumerang', 'bahan', 'serangan', 'calon', 'analisa', 'janji', 'tsb', 'realistis']",netral
"['maaf', 'cak', 'setuju', 'berjalan', 'dananya', 'nggak', 'penggunaannya', 'anggaran', 'pendidikan', 'kesehatan', 'gratis', 'rakyat', 'amanat', 'uud']",positif
"['aniescak', 'imin', 'ganjar', 'muncul', '', 'video', 'azan', '', 'ganjarpranowo', 'aniesbaswedan', 'cakimin', 'mahfud']",netral
"['', 'faktanya', 'masyarkat', 'akar', 'rumput', 'butuh', 'janji', '', 'mudah', 'dipahami', 'sperti', 'itukalau', 'nga', 'jualan', 'kaya', 'gituakar', 'rumput', 'milih', 'kakunanti', 'ketinggal']",netral
"['dumdum', '', '', 'org', '', 'republik', 'iniklo', '', 'hancurrrrr', 'republik', 'krn', 'ngomongnya']",netral
"['', 'biaya', 'murah', 'biar', 'nggak', 'hadir', 'lengang']",netral
"['', 'cocok', 'nian', 'kangen', 'pingin', '', 'plg']",netral
"['jelaspasangan', 'anis', 'gus', 'muhaimin', 'kader', 'pergerakanbukan', 'anak', 'mami', 'penyokong', 'oligarki']",netral
"['', 'sumsel', 'palembang', 'raganya', 'sehat', 'jiwa']",netral
"['refleksi', 'rempang', 'batam', 'anies', 'baswedan', 'pro', 'poor', 'growth', 'membangun', 'menggusur', '', '', 'prophet', 'muhammad', 'adzan', 'maroko', 'senin', 'chris', 'evans', 'rempang', 'naufal', 'pisah', 'kylie', 'vietnam', 'mundur', 'alba', 'baptista', 'bernie', 'morocco', 'ahnhyoseop', 'tanyakosan']",negatif
"['pnk', '', 'normalisasi', 'becus', 'reformasi', 'penegakan', 'hukum', 'kelebihan', 'bayar', 'mulu']",netral
"['cak', 'imin', 'cawapres', 'anies', 'baswedan', '', 'nothing', 'suara', '', '', 'jatim', 'lari', '', 'prabowo', 'anies', 'unggul', '', 'dki']",netral
"['', 'pastikan', 'menang', 'dlu', 'insya', 'allah', 'perubahan', '', 'barakallah', 'anies', 'baswedan']",netral
"['sekedar', 'masukan', 'mendukung', 'dki', 'tolong', 'obral', 'janji', 'bentuk', 'materiuang', 'kurangi', 'bicara', 'ambil', 'porsi', 'capres', 'focus', 'soliditas', 'bergerak', 'akar', 'rumput', '', 'pkb', '']",netral
"['', 'gak', 'capres', 'bikin', 'program', 'tur', '', 'eropa', 'amrik', 'gratis', '', 'uang', 'saku', '', '', 'jthari', 'kalo', '', 'pilih', '', 'capres', 'colek']",positif
"['', 'sumsel', 'palembang', 'emg', 'sehat', 'skrng', 'sampe', 'pemilu', 'ntar', 'kalah', 'sakitnya', '']",netral
"['anies', 'baswedan', 'muhaimin', 'iskandar', 'pemimpin', 'otentik', 'anak', 'mami', 'orang', 'lahir', 'pergolakan', 'anti', 'orde', 'berproses', 'realitas', 'buruh', 'masyarakat', 'miskin', 'petani', 'aniesbaswedan', 'muhaiminiskandar', 'aniesmuhaimin', 'pemimpinotentik']",negatif
"['', 'janji', 'beliau', 'harlah', 'pkb', 'kmrin', 'blum', 'menjalin', 'koalisi', 'dgn', 'anies']",netral
"['', 'iya', 'sesuai', 'pernyataannya', 'gila']",netral
"['pemilu', 'pengangkatan', 'calon', 'presiden', 'wakil', 'presiden', 'transaksional', 'keputusan', '', 'mengkampanyekan', 'politik', 'nontransaksional', '', 'mengedepankan', 'idealisme', 'visi', 'coba', 'mas', 'anies', 'fokusin', 'dalem', '', 'kampanye', '', 'first', 'voter']",netral
"['', 'muhaimin', 'upaya', 'penggembosan', 'anies']",netral
"['', 'sumsel', 'palembang', 'gak', 'ikutan', 'tren', 'kali', 'aja', 'nongol', '', 'adzan', 'metro', '']",netral
"['', 'hukum', 'mati', 'koruptor', 'bubarkan', 'partai', 'buruh']",netral
"['gpng', 'marm', '', '', 'memikirkan', 'anggotanya', '', 'parlemen', '', 'pemilihnya', 'keebanyakan', 'milih', 'anisdan', '', '', '', 'dimana', 'sby', 'dominan', '', 'perhitungkan']",netral
"['lampion', 'id', 'bacapres', 'gak', 'setuju']",netral
"['', 'sumsel', 'palembang', 'postingan', 'capres', 'ngga', 'mutu', 'blassss', 'ngga', 'ide', 'bisanya', 'diajak', 'disuruh']",netral
"['', 'ide', 'bagus', 'nih']",netral
"['', 'sumsel', 'palembang', 'badan', 'sehattapi', 'giliran', 'otaknya', 'konslet']",netral
"['', 'masya', 'alloh', 'miiiinnn', 'cak', 'kimiiin', '', 'hitungan', 'bergaul', 'wanaibon', '', 'halu', '', 'haduuh', 'program', 'ngarang', '', 'rakyat', 'indonesia', 'rakyat', 'yaman', 'hidup', 'sengsara', '', 'dijanjikan', 'nyoblos']",netral
"['', 'omongan', '', 'sesuai', 'kenyataan', 'gandeng', '', 'imin', 'jualan', '', 'agama', 'emang', 'politik', 'identitans', '', 'anis']",netral
"['', 'pkb', 'semogah', 'harapan', 'perubahan', 'perbaikan', '', '', '', '', '', '', '', 'menang', 'pemilu', 'aamiin']",netral
"['', 'duk', '', 'membanggkan', 'pendidikan', 'istinya', 'ganjar', '', 'bandingkan', '', 'istri', 'anies', 'baswedan', 'larinya', '', 'kondisi', 'ekonomi', 'mertua', 'ganjar', '', 'pondok', 'pesantren', '', 'masalahkan', 'kondisi', 'ekonominya']",netral
