created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
"Thu Aug 31 23:59:29 +0000 2023;1697398737663086966;""@ganjarpranowo @Yansoesilo @LaporGub_ @LaporBupWSB @dpubmckjateng @wonosobohebat Beruntung amat Pak @Yansoesilo 4 hari setelah lapor langsung ditanggapi Gubernur &amp  DPU Propinsi"";0;0;1;1;in;924309025444864000;1695940667229585703;damarwidi99;https://twitter.com/damarwidi99/status/1697398737663086966",,,,
"Thu Aug 31 23:59:14 +0000 2023;1697398674534568341;""@ganjarpranowo @prabowo @PDemokrat @AndiAriefNew @AgusYudhoyono @PKSejahtera @__AnakKolong @_MbakSri_ Yg sedang trending. Anak pepo : .🎵.. hancur hancur hatiku...🎵  #Bang Brewok pengkhianat cin ca 😅😅 https://t.co/HGooGLU4FQ"";0;0;0;0;in;1663263299449008128;1697398674534568341;CanTik181984873;https://twitter.com/CanTik181984873/status/1697398674534568341",,,,
"Thu Aug 31 23:58:01 +0000 2023;1697398368178520446;""Menjadi putra semata wayang dari Ganjar Pranowo dan Siti Atikoh"," ini sangat mirip dengan Ganjar Pranowo. Bagaimana pandangan Alam Ganjar terkait politik?… https://t.co/x6FHfhCcVl"";707;3;40;99;in;2695463725;1697398368178520446;triwul82;https://twitter.com/triwul82/status/1697398368178520446",,,
"Thu Aug 31 23:56:59 +0000 2023;1697398107859046488;""@BungkusTukang @ganjarpranowo Siapa yg percaya hasil dri lambaga survei ?"";0;0;0;0;in;1486332603380940804;1697096808697409945;98garislurus;https://twitter.com/98garislurus/status/1697398107859046488",,,,
"Thu Aug 31 23:56:46 +0000 2023;1697398053525983595;""Kemaren @budimandjatmiko dan @prabowo   Sekarang @aniesbaswedan dan @cakimiNOW   Next??  @AgusYudhoyono dan @ganjarpranowo ??  Atau..??  __  Bercandanya Tuhan terkadang bisa selucu ini..  *Siap siap bersihkan jejak Bijitil kalian Jerrrrr!! https://t.co/22ed7koPQ0"";2;2;18;21;in;2931186644;1697398053525983595;Lampung__01;https://twitter.com/Lampung__01/status/1697398053525983595",,,,
"Thu Aug 31 23:56:41 +0000 2023;1697398029517746497;""@ganjarpranowo Tetap solid. Nazaruddin kabor ke luar negeri bisa tertangkap. Harun Masiku ngilang sampai skrg. Apa dia keturunan DEMIT ya kok bisa ngilang 🤣🤣 https://t.co/8yTEZwCJsK"";0;0;0;0;in;1626268898478927873;1696765943270281409;itsme_as224;https://twitter.com/itsme_as224/status/1697398029517746497",,,,
"Thu Aug 31 23:56:15 +0000 2023;1697397923338993703;""@ganjarpranowo Lg dikasih wjengan sm Ibu Iriana: Itu nanti suami km yg akan menggantikan Suami ku jd Presiden.....Aamiin..."";0;0;0;0;in;1657351342334287872;1696765943270281409;29_pangeran;https://twitter.com/29_pangeran/status/1697397923338993703",,,,
"Thu Aug 31 23:55:57 +0000 2023;1697397848063799749;""@Candj09 @susipudjiastuti @prabowo @ganjarpranowo @aniesbaswedan pol pol pol ini bole baru 1 set"";0;0;0;0;in;1689564341400711169;1697262841789853915;sony99yt;https://twitter.com/sony99yt/status/1697397848063799749",,,,
"Thu Aug 31 23:54:34 +0000 2023;1697397497931645191;""@IbrahimBarraq @Aryprasetyo85 @ganjarpranowo @GunRomli @ch_chotimah2 @Miduk17 @NgkongRoses @03__nakula @007koteka @__AnakKolong @al_lasan @Anak__Ogi Anis sampah"";0;0;0;0;in;812222449316048896;1695010362800894083;Anto12865267;https://twitter.com/Anto12865267/status/1697397497931645191",,,,
"Thu Aug 31 23:54:17 +0000 2023;1697397429568692696;""@ArmansyahSabri @ganjarpranowo daerah lain juga udah dari dulu cuman ga koar2 kaya Ganjar"";0;0;0;0;in;32334648;1697199175950303369;ozzy_sebastian_;https://twitter.com/ozzy_sebastian_/status/1697397429568692696",,,,
"Thu Aug 31 23:53:54 +0000 2023;1697397332407677096;""Selamat pagi semua. Kita pendukung Pak Ganjar Pranowo jangan ikutan ribut masalah cawapres seperti tetangga sebelah ea. Kita fokus ke Pak Ganjar",,,,
"Thu Aug 31 23:52:44 +0000 2023;1697397038949011569;""@LuckyLudjaina @Aryprasetyo85 @ganjarpranowo @GunRomli @ch_chotimah2 @Miduk17 @NgkongRoses @03__nakula @007koteka @__AnakKolong @al_lasan @Anak__Ogi @GP Matamu sempal"";0;0;0;0;in;812222449316048896;1695010362800894083;Anto12865267;https://twitter.com/Anto12865267/status/1697397038949011569",,,,
