created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Aug 31 23:57:09 +0000 2023;1697398147490984246;"Cak Imin masih nyantai.. Pak Prabowo juga nyantai" aja tuh.. So..?  Memangnya Anies jadi nyapres ? 🤭";0;1;0;1;in;2717547397;1697398147490984246;AlmaghribiS;https://twitter.com/AlmaghribiS/status/1697398147490984246
Thu Aug 31 23:57:04 +0000 2023;1697398126347440181;"PBB Beberkan Alasan Yusril Layak Jadi Cawapres Prabowo https://t.co/ec1Og8L3kl";1;0;1;1;in;118646322;1697398126347440181;Bisniscom;https://twitter.com/Bisniscom/status/1697398126347440181
Thu Aug 31 23:56:46 +0000 2023;1697398053525983595;"Kemaren @budimandjatmiko dan @prabowo   Sekarang @aniesbaswedan dan @cakimiNOW   Next??  @AgusYudhoyono dan @ganjarpranowo ??  Atau..??  __  Bercandanya Tuhan terkadang bisa selucu ini..  *Siap siap bersihkan jejak Bijitil kalian Jerrrrr!! https://t.co/22ed7koPQ0";2;2;18;21;in;2931186644;1697398053525983595;Lampung__01;https://twitter.com/Lampung__01/status/1697398053525983595
Thu Aug 31 23:56:44 +0000 2023;1697398042134200350;"@abu_waras Lagian demokrat mau kemana ??? Kayak masih ada tempat aja buat AHY.... maksa bgt jd cawapres....";0;0;0;1;in;1569863143656136705;1697254588846600425;prabowo_wishnu;https://twitter.com/prabowo_wishnu/status/1697398042134200350
Thu Aug 31 23:56:01 +0000 2023;1697397861959250229;"@magekqu @Miduk17 @datuakrajoangek 2019 Prabowo didukung SDM politik yg power full mulai dari politikus senior, ulama sampai tukang gorengan tapi tetap keok. Stigma negatif tentangnya masih melekat diingatan generasi 90 dan mereka banyak yg masih hidup utk menceritakan pada anak anaknya yg sekarang sbg genZ.";0;0;0;1;in;894479864;1697299605799711190;yoesoefay;https://twitter.com/yoesoefay/status/1697397861959250229
Thu Aug 31 23:55:57 +0000 2023;1697397848063799749;"@Candj09 @susipudjiastuti @prabowo @ganjarpranowo @aniesbaswedan pol pol pol ini bole baru 1 set";0;0;0;0;in;1689564341400711169;1697262841789853915;sony99yt;https://twitter.com/sony99yt/status/1697397848063799749
Thu Aug 31 23:55:52 +0000 2023;1697397826001719685;"@MARQUEZ__93 Hmm iya ada potensi GP dan PS dikabungkan. Tapi Prabowo apa mau jadi cawapres? Prabowo lbh pas gabung dg Anies. Anies jadi cawapres dl. Politik kita ini kan blm dewasa dan sehat. Politik uang msh sulit dihilangkan. Simak diskusi RG dan P. Mahfud MD https://t.co/cPODw16aGA";0;1;0;0;in;339436825;1697219672415056299;JJ_tilu;https://twitter.com/JJ_tilu/status/1697397826001719685
Thu Aug 31 23:55:50 +0000 2023;1697397818154213582;"@Kimberley_2024 @prabowo hmmm., Ini efek punya Ayah yg ikhlas berbakti, Merangkul dan menyayangi sesama tanpa dendam, 😍😍😍  Kesetiaan dn pengabdian kita bukanlah rekayasa atau mendukung karna kuat nya pengaruh "Euforia Berlebih" Taklid buta, menyerang saudara secara membabi buta. #RusakMoralBangsa";0;0;0;1;in;1660885617306406912;1697382785420554404;zaqila959;https://twitter.com/zaqila959/status/1697397818154213582
Thu Aug 31 23:54:32 +0000 2023;1697397491870933188;"Jadi panelis di Singapura, Menhan Prabowo usulkan Rusia-Ukraina hentikan perang - ANTARA Sulawesi Utara #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat https://t.co/qlQ2bEVd70";0;0;11;0;in;797615281455525888;1697397491870933188;AzzrielAzaryahu;https://twitter.com/AzzrielAzaryahu/status/1697397491870933188
Thu Aug 31 23:54:21 +0000 2023;1697397443728748933;"@Dahnilanzar @cakimiNOW @DPP_PKB @prabowo Gabung dgn Prabowo penghinaan buat PKB dan Gus Muhaimin Suara nya mau, tp sama Muhaimin nya GK mau, dikasih angin segar doank. Tp belakang probwo dgn kollalisi ngelirik cawapres. Lainnyan";0;0;0;0;in;93138201;1697200771711033525;Zuhud_Dunia;https://twitter.com/Zuhud_Dunia/status/1697397443728748933
Thu Aug 31 23:54:09 +0000 2023;1697397395338985598;"Prabowo antek asing!! https://t.co/szVyuVqqWm";0;0;0;0;in;1567808975428788225;1697397395338985598;JabalManullang;https://twitter.com/JabalManullang/status/1697397395338985598
Thu Aug 31 23:53:34 +0000 2023;1697397249243013196;"@Evwan11 @BosPurwa Gmn ceritanya, kan  saat anies sbg Gub Dki ybs tdk ingin bersaing dg prabowo sbg capres 2019.";0;0;0;0;in;1249973860675358720;1697304501122904295;DataPrint9;https://twitter.com/DataPrint9/status/1697397249243013196
